tensor(6.4104, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4104, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3999, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3999, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(8.0180, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(8.0180, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2674, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2674, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.0239, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.0239, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.7492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.7492, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3557, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3557, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2465, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2465, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3283, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3283, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.0188, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.0188, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.2659, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.2659, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4286, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4286, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.7736, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.7736, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.6855, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.6855, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.6235, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.6235, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.7949, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.7949, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.9510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.9510, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.0799, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.0799, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4580, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.4580, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.8601, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.8601, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3744, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.3744, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2452, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2452, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5218, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5218, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.3415, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.3415, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.1977, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.1977, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2104, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.2104, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.5541, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(5.5541, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.8160, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.8160, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5841, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5841, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.9745, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(7.9745, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(6.5626, device='cuda:0', grad_fn=<MeanBackward0>)
